s,ID do jogador,Apelido,Agente,NLH,MTT,PLO6,Total,NLH,MTT,PLO6,Jogo_Fav,PROFIT/LOSS
23/02/2026,189839,pepeko77,None,"4,58",0,"0,07"," R$  4,65 ","98,49%","0,00%","1,51%",NLH,25
23/02/2026,105921,verdao,None,0,0,0, R$  -   ,,,,NLH,2
23/02/2026,106482,BOLADÃO,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,111169,pix111169,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,124424,ocabuloso,None,0,0,0, R$  -   ,,,,NLH,1
23/02/2026,131446,pix131446,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,133014,ortsac,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,133020,jotapeh,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,135239,pix135239,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,146296,pix146296,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,146445,S4FADA0,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,146447,PIRAT4,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,153593,Tizil1,None,0,"0,1",0," R$  0,10 ","0,00%","100,00%","0,00%",MTT,0
23/02/2026,160339,eduardo aguiar,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,183626,pix183626,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,184293,pix184293,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,184892,pix184892,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,186163,pix186163,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,189820,pix189820,None,0,0,0, R$  -   ,,,,NLH,2
23/02/2026,194307,pix194307,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,120928,galinRF,None,"11,56",0,"82,74"," R$  94,30 ","12,26%","0,00%","87,74%",PLO6,-269
23/02/2026,150452,Liorne,None,"50,66",0,0," R$  50,66 ","100,00%","0,00%","0,00%",NLH,66
23/02/2026,171722,LTPREMIOS,None,"2,2",0,0," R$  2,20 ","100,00%","0,00%","0,00%",NLH,-32
23/02/2026,167119,pix167119,None,"3,16",1,0," R$  4,16 ","75,96%","24,04%","0,00%",NLH,-24
23/02/2026,172054,kevenbrs,None,"0,23","0,5",0," R$  0,73 ","31,51%","68,49%","0,00%",MTT,-6
23/02/2026,193670,JotaroPoker,None,"4,72",0,0," R$  4,72 ","100,00%","0,00%","0,00%",NLH,24
23/02/2026,191614,pix191614,None,0,0,"36,86"," R$  36,86 ","0,00%","0,00%","100,00%",PLO6,63
23/02/2026,116516,pix116516,None,0,0,"8,17"," R$  8,17 ","0,00%","0,00%","100,00%",PLO6,-50
23/02/2026,180680,pix180680,None,0,"3,8",0," R$  3,80 ","0,00%","100,00%","0,00%",MTT,-38
23/02/2026,143977,pix143977,None,"4,74",0,0," R$  4,74 ","100,00%","0,00%","0,00%",NLH,-1
23/02/2026,161504,santin,None,"0,61",0,0," R$  0,61 ","100,00%","0,00%","0,00%",NLH,-8
23/02/2026,173360,vigarista??,None,"0,27",0,0," R$  0,27 ","100,00%","0,00%","0,00%",NLH,-4
23/02/2026,175127,pix 175127,None,"10,43",0,"1,06"," R$  11,49 ","90,77%","0,00%","9,23%",NLH,-32
23/02/2026,190448,andim,None,"0,77","1,1","4,3"," R$  6,17 ","12,48%","17,83%","69,69%",PLO6,-28
23/02/2026,194310,Saulentregaficha,None,"0,71",0,0," R$  0,71 ","100,00%","0,00%","0,00%",NLH,-10
23/02/2026,194311,pix194311,None,"1,45",0,0," R$  1,45 ","100,00%","0,00%","0,00%",NLH,-10
23/02/2026,106099,MACAXERA,None,0,0,"4,76"," R$  4,76 ","0,00%","0,00%","100,00%",PLO6,-10
23/02/2026,179744,pix179744,None,0,"0,5","0,32"," R$  0,82 ","0,00%","60,98%","39,02%",MTT,-10
23/02/2026,108614,andinhosamu,None,"6,97",0,0," R$  6,97 ","100,00%","0,00%","0,00%",NLH,-30
23/02/2026,101757,Colares9,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,103255,pix103255,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,106490,ppAK,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,106842,thiagonapoleao,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,112267,vinicartas,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,123058,pix123058,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,124528,MagoxD,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,136568,s_mpoker3715,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,138657,pix138657,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,139373,BOLOTEEEEEE,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,141583,pix141583,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,146403,Joao Henrique,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,146443,C4LABRES0,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,146696,cachaça51,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,147269,paracetamol,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,148154,rafagm2005,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,149121,Jucelio,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,151216,Matador 2024,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,153455,Scalybu,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,153458,Scooby Doo,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,153460,Trimilique Pudim,None,0,"0,1",0," R$  0,10 ","0,00%","100,00%","0,00%",MTT,72
23/02/2026,154223,pedriinho,None,0,"0,1",0," R$  0,10 ","0,00%","100,00%","0,00%",MTT,-1
23/02/2026,156017,Manda100Manda50,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,157881,manda o pix,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,159706,Nelsonf1984,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,161151,pirulaa,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,162308,Apodi,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,162797,gabbifm33,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,164386,pix164386,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,164753,A P ¹⁵⁷,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,165324,Polegar,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,170783,Galego de Nanai ?,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,171646,pix171646,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,171757,pix171757,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,172976,pix172976,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,173743,pix173743,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,173780,pix173780,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,174471,TINANAN,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,174473,Marcos De Neuma,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,174474,Antoin De Nestor,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,174476,Dim Saraiva,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,174477,pix174477,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,175004,vamoJJ,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,176462,markin valde,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,180282,pixmaicon,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,182216,Xinxa Da Cebola,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,182217,pix182217,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,182698,Camy,None,0,"0,4",0," R$  0,40 ","0,00%","100,00%","0,00%",MTT,-4
23/02/2026,188577,pix188577,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,188986,Duzim,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,190181,lailson,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,193840,pix193840,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,194112,pix194112,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,194308,pix194308,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,117401,FabinhoJP,None,0,"2,5",0," R$  2,50 ","0,00%","100,00%","0,00%",MTT,-25
23/02/2026,172347,pix172347,None,0,"0,2",0," R$  0,20 ","0,00%","100,00%","0,00%",MTT,-2
23/02/2026,172697,pix172697,None,0,"0,1",0," R$  0,10 ","0,00%","100,00%","0,00%",MTT,-1
23/02/2026,173018,pix173018,None,0,"0,1",0," R$  0,10 ","0,00%","100,00%","0,00%",MTT,-1
23/02/2026,176190,Cachorro pingolinha,None,0,"0,1",0," R$  0,10 ","0,00%","100,00%","0,00%",MTT,-1
23/02/2026,183499,pix183499,None,0,"0,2",0," R$  0,20 ","0,00%","100,00%","0,00%",MTT,-2
23/02/2026,146893,Phelps,None,0,3,0," R$  3,00 ","0,00%","100,00%","0,00%",MTT,194
23/02/2026,158108,capitão,None,0,3,0," R$  3,00 ","0,00%","100,00%","0,00%",MTT,-30
23/02/2026,141286,pix141286,None,"6,14",0,0," R$  6,14 ","100,00%","0,00%","0,00%",NLH,18
23/02/2026,169213,matiasf,None,"1,72",0,0," R$  1,72 ","100,00%","0,00%","0,00%",NLH,-14
23/02/2026,153367,Gi.p,None,0,"2,6",0," R$  2,60 ","0,00%","100,00%","0,00%",MTT,-26
23/02/2026,123435,El Bandolero,None,0,"2,2","40,04"," R$  42,24 ","0,00%","5,21%","94,79%",PLO6,365
23/02/2026,148572,pix148572,None,"5,82",0,0," R$  5,82 ","100,00%","0,00%","0,00%",NLH,-50
23/02/2026,139747,pix139747,None,0,4,0," R$  4,00 ","0,00%","100,00%","0,00%",MTT,-50
23/02/2026,129711,pix129711,None,0,20,0," R$  20,00 ","0,00%","100,00%","0,00%",MTT,-200
23/02/2026,133917,shipship,None,0,60,0," R$  60,00 ","0,00%","100,00%","0,00%",MTT,-600
23/02/2026,171661,joseneto77,None,0,"2,2",0," R$  2,20 ","0,00%","100,00%","0,00%",MTT,-22
23/02/2026,143724,RaafaFlose,None,0,38,0," R$  38,00 ","0,00%","100,00%","0,00%",MTT,-380
23/02/2026,150865,Aciole,None,0,8,0," R$  8,00 ","0,00%","100,00%","0,00%",MTT,0
23/02/2026,156445,Marcelin,None,0,50,0," R$  50,00 ","0,00%","100,00%","0,00%",MTT,-500
23/02/2026,193445,pix193445,None,0,20,0," R$  20,00 ","0,00%","100,00%","0,00%",MTT,-200
23/02/2026,108574,Nery,None,0,"0,1",0," R$  0,10 ","0,00%","100,00%","0,00%",MTT,-1
23/02/2026,128702,pix128702,None,0,"0,9",0," R$  0,90 ","0,00%","100,00%","0,00%",MTT,-9
23/02/2026,176138,otrembb??,None,0,"0,9",0," R$  0,90 ","0,00%","100,00%","0,00%",MTT,-9
23/02/2026,177691,pix177691,None,0,"0,1",0," R$  0,10 ","0,00%","100,00%","0,00%",MTT,29
23/02/2026,188325,pix188325,None,0,"0,1",0," R$  0,10 ","0,00%","100,00%","0,00%",MTT,-1
23/02/2026,193100,Custodes,None,0,0,"13,52"," R$  13,52 ","0,00%","0,00%","100,00%",PLO6,-50
23/02/2026,101709,pix101709,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,103161,Beltranzin,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,115711,IR ???,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,116811,joka,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,117406,Guimarães,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,117746,bocao10,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,127823,pix127823,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,135558,FakeShove,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,142773,thaisgonçalves,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,143064,pawerrangersrosa,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,143066,mulher gato,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,143199,Trobertom33,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,143201,TR33,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,143211,pix143211,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,143543,Amorica do vrau,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,144641,FoiLost,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,145268,malvadaopirata,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,159848,DMAK,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,161653,top1,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,161802,Thiagom33,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,163027,pix163027,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,164056,TR34,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,165365,Gabriel22k,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,166218,gleninho,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,169061,gbalasb,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,170886,pix170886,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,172698,pix172698,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,174582,pix174582,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,176407,BENTOCOSTA,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,176723,fold AK,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,181469,leom08,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,184217,CPAK,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,189281,pix189281,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,189433,98NAIPADO,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,189877,cauemororo,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,189990,pix189990,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,190234,pix190234,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,190633,pix190633,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,191837,modelo,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,193341,mikezeira01,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,193356,pix193356,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,193767,pix193767,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,193980,pix193980,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,194313,pix194313,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,194315,pix194315,None,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,172383,pinheiro96,None,"31,69",0,0," R$  31,69 ","100,00%","0,00%","0,00%",NLH,23
23/02/2026,125837,DNerdguy,AF - ISAC,0,"10,1",0," R$  10,10 ","0,00%","100,00%","0,00%",MTT,185
23/02/2026,150540,semgalantia,AF - ISAC,0,8,0," R$  8,00 ","0,00%","100,00%","0,00%",MTT,-80
23/02/2026,155185,saomatheuszl,AF - ISAC,0,"48,9",0," R$  48,90 ","0,00%","100,00%","0,00%",MTT,-137
23/02/2026,157300,mago.bet,AF - ISAC,"0,85","22,2","3,05"," R$  26,10 ","3,26%","85,06%","11,69%",MTT,-274
23/02/2026,191993,wallygarage,AF - ISAC,"1,43",23,0," R$  24,43 ","5,85%","94,15%","0,00%",MTT,-213
23/02/2026,192048,kauaaugustto,AF - ISAC,"18,57","31,9",0," R$  50,47 ","36,79%","63,21%","0,00%",MTT,-216
23/02/2026,143623,cohen7,AF - ISAC,0,0,"21,93"," R$  21,93 ","0,00%","0,00%","100,00%",PLO6,-178
23/02/2026,151398,dagun,AF - ISAC,"1,03",6,"944,99"," R$  952,02 ","0,11%","0,63%","99,26%",PLO6,-1.895
23/02/2026,146489,popeye,AF - ISAC,0,"14,2","96,45"," R$  110,65 ","0,00%","12,83%","87,17%",PLO6,-302
23/02/2026,182480,zackaoBR,AF - ISAC,0,"107,4","387,48"," R$  494,88 ","0,00%","21,70%","78,30%",PLO6,133
23/02/2026,185342,Zanatta01,AF - ISAC,"0,79","26,96",0," R$  27,75 ","2,85%","97,15%","0,00%",MTT,-280
23/02/2026,178427,Rudii01,AF - ISAC,0,"0,3","0,06"," R$  0,36 ","0,00%","83,33%","16,67%",MTT,-8
23/02/2026,122628,ジョン,AF - ISAC,"30,51",0,"0,98"," R$  31,49 ","96,89%","0,00%","3,11%",NLH,-39
23/02/2026,147375,opsicologo,AF - ISAC,"98,31","2,5","2,69"," R$  103,50 ","94,99%","2,42%","2,60%",NLH,35
23/02/2026,149857,-_-,AF - ISAC,"1,97",0,"0,44"," R$  2,41 ","81,74%","0,00%","18,26%",NLH,-7
23/02/2026,172709,Almir Martins,AF - ISAC,"2,11",0,0," R$  2,11 ","100,00%","0,00%","0,00%",NLH,-20
23/02/2026,175494,Pescador ?,AF - ISAC,"142,59","1,4","3,14"," R$  147,13 ","96,91%","0,95%","2,13%",NLH,429
23/02/2026,177541,JUANIR,AF - ISAC,"34,74",0,0," R$  34,74 ","100,00%","0,00%","0,00%",NLH,-68
23/02/2026,187265,Fabricio Teixeira,AF - ISAC,"17,43",0,0," R$  17,43 ","100,00%","0,00%","0,00%",NLH,-31
23/02/2026,193482,bartsimpsom,AF - ISAC,"153,97","2,2","23,61"," R$  179,78 ","85,64%","1,22%","13,13%",NLH,5
23/02/2026,151293,rogbl,AF - ISAC,0,"0,7",0," R$  0,70 ","0,00%","100,00%","0,00%",MTT,-7
23/02/2026,134625,GILMRZ7,AF - ISAC,"1,63","10,7","0,7"," R$  13,03 ","12,51%","82,12%","5,37%",MTT,-100
23/02/2026,145591,Dobrodracy,AF - ISAC,0,0,0, R$  -   ,,,,NLH,2
23/02/2026,148579,All in e ?,AF - ISAC,"1,47","13,1","0,28"," R$  14,85 ","9,90%","88,22%","1,89%",MTT,1
23/02/2026,159806,ÓBITO,AF - ISAC,0,"0,1",0," R$  0,10 ","0,00%","100,00%","0,00%",MTT,0
23/02/2026,165123,The Mentalist,AF - ISAC,"38,17","6,26",0," R$  44,43 ","85,91%","14,09%","0,00%",NLH,109
23/02/2026,172400,Xumaca,AF - ISAC,0,0,"0,22"," R$  0,22 ","0,00%","0,00%","100,00%",PLO6,0
23/02/2026,179751,devil may cry,AF - ISAC,0,"0,5","15,58"," R$  16,08 ","0,00%","3,11%","96,89%",PLO6,25
23/02/2026,179756,BIN LADEN,AF - ISAC,0,0,"41,14"," R$  41,14 ","0,00%","0,00%","100,00%",PLO6,-80
23/02/2026,187404,Alex Poatan ??,AF - ISAC,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,192125,ReiDoFree,AF - ISAC,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,136655,IAAUUUUUU,AF - ISAC,0,4,"134,61"," R$  138,61 ","0,00%","2,89%","97,11%",PLO6,-215
23/02/2026,138562,KillPot,AF - ISAC,0,"23,8","74,24"," R$  98,04 ","0,00%","24,28%","75,72%",PLO6,122
23/02/2026,165708,Jocker,AF - ISAC,"0,92",1,"39,52"," R$  41,44 ","2,22%","2,41%","95,37%",PLO6,-61
23/02/2026,166672,Professor!,AF - ISAC,0,0,"2,49"," R$  2,49 ","0,00%","0,00%","100,00%",PLO6,-2
23/02/2026,178296,Hawk,AF - ISAC,0,0,"3,01"," R$  3,01 ","0,00%","0,00%","100,00%",PLO6,-19
23/02/2026,103605,Eu_Amorim,AF - ISAC,0,"6,4",0," R$  6,40 ","0,00%","100,00%","0,00%",MTT,225
23/02/2026,109124,Brunoovieir_,AF - ISAC,0,0,"20,13"," R$  20,13 ","0,00%","0,00%","100,00%",PLO6,-3
23/02/2026,192515,pix192515,AF - ISAC,"85,75","31,1","336,67"," R$  453,52 ","18,91%","6,86%","74,23%",PLO6,557
23/02/2026,175007,SANTOS28,AF - ISAC,"0,49","5,4",0," R$  5,89 ","8,32%","91,68%","0,00%",MTT,-60
23/02/2026,185998,Pix 77777,AF - ISAC,"0,19","12,8","3,28"," R$  16,27 ","1,17%","78,67%","20,16%",MTT,538
23/02/2026,136921,JokerBluff,AF - ISAC,0,"5,4","2,2"," R$  7,60 ","0,00%","71,05%","28,95%",MTT,-65
23/02/2026,149973,VI$AO,AF - ISAC,"22,53","0,5","8,92"," R$  31,95 ","70,52%","1,56%","27,92%",NLH,-24
23/02/2026,172191,Pru Pru,AF - ISAC,"9,69","8,1","457,49"," R$  475,28 ","2,04%","1,70%","96,26%",PLO6,-931
23/02/2026,180131,só perco,AF - ISAC,0,"3,55","89,82"," R$  93,37 ","0,00%","3,80%","96,20%",PLO6,-63
23/02/2026,102273,O DR,AF - ISAC,"0,1","183,6",0," R$  183,70 ","0,05%","99,95%","0,00%",MTT,-178
23/02/2026,156590,DimKenney,AF - ISAC,"0,37","22,5",0," R$  22,87 ","1,62%","98,38%","0,00%",MTT,-230
23/02/2026,109829,*K9*,AF - ISAC,0,"26,6",0," R$  26,60 ","0,00%","100,00%","0,00%",MTT,104
23/02/2026,145975,Maverick81,AF - ISAC,0,"10,4",0," R$  10,40 ","0,00%","100,00%","0,00%",MTT,-15
23/02/2026,182585,Carneiro,AF - ISAC,0,"222,9",0," R$  222,90 ","0,00%","100,00%","0,00%",MTT,-1.208
23/02/2026,157767,のちモ匕モ2,AF - ISAC,"19,27","8,6","6,14"," R$  34,01 ","56,66%","25,29%","18,05%",NLH,-8
23/02/2026,173648,Iphones,AF - ISAC,"51,67",0,0," R$  51,67 ","100,00%","0,00%","0,00%",NLH,-313
23/02/2026,171519,Nan$,AF - ISAC,"0,2",0,0," R$  0,20 ","100,00%","0,00%","0,00%",NLH,-4
23/02/2026,162837,LucasSilva,AF - ISAC,0,"11,3","68,47"," R$  79,77 ","0,00%","14,17%","85,83%",PLO6,229
23/02/2026,192432,chaves,AF - ISAC,"4,82",0,"19,07"," R$  23,89 ","20,18%","0,00%","79,82%",PLO6,40
23/02/2026,160321,GameOver,AF - ISAC,"5,04","36,5","265,24"," R$  306,78 ","1,64%","11,90%","86,46%",PLO6,-858
23/02/2026,123541,DanyLima,AF - ISAC,0,"23,9","0,69"," R$  24,59 ","0,00%","97,19%","2,81%",MTT,117
23/02/2026,160177,henrry,AF - ISAC,0,0,"4,13"," R$  4,13 ","0,00%","0,00%","100,00%",PLO6,-20
23/02/2026,153375,MrDemite,AF - ISAC,0,"2,8",0," R$  2,80 ","0,00%","100,00%","0,00%",MTT,356
23/02/2026,159634,TuêLombrado,AF - ISAC,"21,24",0,0," R$  21,24 ","100,00%","0,00%","0,00%",NLH,-271
23/02/2026,113629,ernesto94,AF - ISAC,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,124313,philippebarone,AF - ISAC,0,0,0, R$  -   ,,,,NLH,1
23/02/2026,134166,LincolnLau,AF - ISAC,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,138188,Orafa,AF - ISAC,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,139827,Eddyoliveira,AF - ISAC,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,153278,Amanhã,AF - ISAC,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,155562,Meupiru$,AF - ISAC,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,161775,Fabi,AF - ISAC,0,0,0, R$  -   ,,,,NLH,1
23/02/2026,167568,Cearazin,AF - ISAC,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,181583,faguirre,AF - ISAC,0,"0,2",0," R$  0,20 ","0,00%","100,00%","0,00%",MTT,0
23/02/2026,183598,DSoares,AF - ISAC,"1,69","0,2",0," R$  1,89 ","89,42%","10,58%","0,00%",NLH,-10
23/02/2026,190826,TEREBRBRASIL,AF - ISAC,"1,44","16,35",0," R$  17,79 ","8,09%","91,91%","0,00%",MTT,-92
23/02/2026,181684,AMORIIM,AF - ISAC,"15,3",0,"1,82"," R$  17,12 ","89,37%","0,00%","10,63%",NLH,-15
23/02/2026,184138,?,AF - ISAC,"7,58","32,2",0," R$  39,78 ","19,05%","80,95%","0,00%",MTT,-203
23/02/2026,186309,B?MB?L@D?,AF - ISAC,"64,48",0,0," R$  64,48 ","100,00%","0,00%","0,00%",NLH,-8
23/02/2026,188333,Magaly,AF - ISAC,"9,52",0,"0,74"," R$  10,26 ","92,79%","0,00%","7,21%",NLH,-7
23/02/2026,149747,Tunai Campos,AF - ISAC,0,"0,5",0," R$  0,50 ","0,00%","100,00%","0,00%",MTT,-5
23/02/2026,122562,Richelly,AF - ISAC,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,127634,BROC4D0R,AF - ISAC,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,173754,TTrincA,AF - ISAC,0,"0,5",0," R$  0,50 ","0,00%","100,00%","0,00%",MTT,1
23/02/2026,175035,Hayron13,AF - ISAC,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,184381,MANDA_PRA_CÁ,AF - ISAC,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,165271,nene_4:20,AF - ISAC,"4,75","0,8",0," R$  5,55 ","85,59%","14,41%","0,00%",NLH,-36
23/02/2026,144785,pal de aço,AF - ISAC,0,0,"346,19"," R$  346,19 ","0,00%","0,00%","100,00%",PLO6,-2.077
23/02/2026,139240,3333badboy,AF - ISAC,"58,02",6,0," R$  64,02 ","90,63%","9,37%","0,00%",NLH,-184
23/02/2026,193540,Tony.S,AF - ISAC,"12,81","9,7",0," R$  22,51 ","56,91%","43,09%","0,00%",NLH,-104
23/02/2026,181112,dafugaa,AF - ISAC,"23,2",0,0," R$  23,20 ","100,00%","0,00%","0,00%",NLH,-115
23/02/2026,186062,Poker_RP,AF - ISAC,"36,57","1,5","0,28"," R$  38,35 ","95,36%","3,91%","0,73%",NLH,-163
23/02/2026,179907,Lulabolusco,AF - ISAC,"0,91","0,7","35,31"," R$  36,92 ","2,46%","1,90%","95,64%",PLO6,-266
23/02/2026,173010,ludjan,AF - ISAC,"26,7","7,1",0," R$  33,80 ","78,99%","21,01%","0,00%",NLH,-199
23/02/2026,131627,Lucas Davi,AF - ISAC,"0,73",0,0," R$  0,73 ","100,00%","0,00%","0,00%",NLH,-10
23/02/2026,167449,Allana,AF - ISAC,"0,36",0,0," R$  0,36 ","100,00%","0,00%","0,00%",NLH,-5
23/02/2026,170330,Sarochim10,AF - ISAC,0,1,0," R$  1,00 ","0,00%","100,00%","0,00%",MTT,-10
23/02/2026,175290,L10,AF - ISAC,0,"6,4",0," R$  6,40 ","0,00%","100,00%","0,00%",MTT,-64
23/02/2026,135383,thxmx,AF - ISAC,"2,39","2,5","10,61"," R$  15,50 ","15,42%","16,13%","68,45%",PLO6,-154
23/02/2026,147781,RatiouPerdeu,AF - ISAC,0,"19,2",0," R$  19,20 ","0,00%","100,00%","0,00%",MTT,-182
23/02/2026,132058,DELICI0,AF - ISAC,0,0,0, R$  -   ,,,,NLH,0
23/02/2026,187086,usainfold,AF - ISAC,"43,65","14,06",20," R$  77,71 ","56,17%","18,09%","25,74%",NLH,102
23/02/2026,157218,Willian09,AF - ISAC,"0,91",0,"13,65"," R$  14,56 ","6,25%","0,00%","93,75%",PLO6,-139
23/02/2026,121394,Negreanu,AF - ISAC,"2,53",0,0," R$  2,53 ","100,00%","0,00%","0,00%",NLH,-9
