s,ID do jogador,Apelido,Agente,NLH,MTT,PLO6,Total,NLH,MTT,PLO6,Jogo_Fav,PROFIT/LOSS
23/02/2026,153414,AlphaOmega,PIXPOKER,0,"22,9",0," R$  22,90 ","0,00%","100,00%","0,00%",MTT,-162
23/02/2026,170039,Braúna??,PIXPOKER,0,"14,6",0," R$  14,60 ","0,00%","100,00%","0,00%",MTT,-196
23/02/2026,149960,11678,PIXPOKER,0,0,"2921,68"," R$  2.921,68 ","0,00%","0,00%","100,00%",PLO6,-23.700
23/02/2026,147665,dleitao,PIXPOKER,"24,32",0,0," R$  24,32 ","100,00%","0,00%","0,00%",NLH,-48
23/02/2026,162553,blefão,PIXPOKER,"41,31",0,0," R$  41,31 ","100,00%","0,00%","0,00%",NLH,-176
23/02/2026,165419,pix165419,PIXPOKER,"21,09","3,5","169,15"," R$  193,74 ","10,89%","1,81%","87,31%",PLO6,-619
23/02/2026,191446,Rochedo,PIXPOKER,"2,64",0,"31,61"," R$  34,25 ","7,71%","0,00%","92,29%",PLO6,-99
23/02/2026,162898,Arturlm11,PIXPOKER,"60,34","2,9","10,65"," R$  73,89 ","81,66%","3,92%","14,41%",NLH,-273
23/02/2026,186865,pix186865,PIXPOKER,"0,18",0,"182,52"," R$  182,70 ","0,10%","0,00%","99,90%",PLO6,394
23/02/2026,190673,pix190673,PIXPOKER,50,"25,9","100,83"," R$  176,73 ","28,29%","14,66%","57,05%",PLO6,-437
23/02/2026,108417,Cariri,PIXPOKER,0,"27,2",0," R$  27,20 ","0,00%","100,00%","0,00%",MTT,-215
23/02/2026,137423,Godoy,PIXPOKER,0,"158,3",0," R$  158,30 ","0,00%","100,00%","0,00%",MTT,-69
23/02/2026,144386,pix144386,PIXPOKER,0,0,"31,55"," R$  31,55 ","0,00%","0,00%","100,00%",PLO6,-54
23/02/2026,158842,john lennon,PIXPOKER,0,0,"117,2"," R$  117,20 ","0,00%","0,00%","100,00%",PLO6,129
23/02/2026,160003,Ioribr (777),PIXPOKER,"0,45",0,"14,77"," R$  15,22 ","2,96%","0,00%","97,04%",PLO6,-59
23/02/2026,169890,Simone,PIXPOKER,0,17,"38,14"," R$  55,14 ","0,00%","30,83%","69,17%",PLO6,14
23/02/2026,171369,pix171369,PIXPOKER,0,0,"48,63"," R$  48,63 ","0,00%","0,00%","100,00%",PLO6,-137
